Name ,Link,State ,Party ,LegislativeBody
"Johnson, Bill",https://twitter.com/RepBillJohnson,OH,R,house
"Johnson, Dusty",https://twitter.com/RepDustyJohnson,SD,R,house
"Johnson, Eddie Bernice",https://twitter.com/RepEBJ,TX,D,house
"Johnson, Henry C. ""Hank"" Jr.",https://twitter.com/RepHankJohnson,GA,D,house
"Johnson, Mike",https://twitter.com/RepMikeJohnson,LA,R,house
"Jones, Mondaire",https://twitter.com/RepMondaire,NY,D,house
"Jordan, Jim",https://twitter.com/Jim_Jordan,OH,R,house
"Joyce, David",https://twitter.com/RepDaveJoyce,OH,R,house
"Joyce, John",https://twitter.com/RepJohnJoyce,PA,R,house
"Kahele, Kaiali'i",https://twitter.com/KaheleRep,HI,D,house
"Kaptur, Marcy",https://twitter.com/RepMarcyKaptur,OH,D,house
"Katko, John",https://twitter.com/RepJohnKatko,NY,R,house
"Keating, William",https://twitter.com/USRepKeating,MA,D,house
"Keller, Fred",https://twitter.com/RepFredKeller,PA,R,house
"Kelly, Mike",https://twitter.com/MikeKellyPA,PA,R,house
"Kelly, Robin",https://twitter.com/RepRobinKelly,IL,D,house
"Kelly, Trent",https://twitter.com/RepTrentKelly,MS,R,house
"Khanna, Ro",https://twitter.com/RepRoKhanna,CA,D,house
"Kildee, Dan",https://twitter.com/RepDanKildee,MI,D,house
"Kilmer, Derek",https://twitter.com/RepDerekKilmer,WA,D,house
"Kim, Andy",https://twitter.com/RepAndyKimNJ,NJ,D,house
"Kim, Young",https://twitter.com/RepYoungKim,CA,R,house
"Kind, Ron",https://twitter.com/RepRonKind,WI,D,house
"Kinzinger, Adam",https://twitter.com/RepKinzinger,IL,R,house
"Kirkpatrick, Ann",https://twitter.com/RepKirkpatrick,AZ,D,house
"Krishnamoorthi, Raja",https://twitter.com/CongressmanRaja,IL,D,house
"Kuster, Ann",https://twitter.com/RepAnnieKuster,NH,D,house
"Kustoff, David",https://twitter.com/RepDavidKustoff,TN,R,house
"LaHood, Darin",https://twitter.com/RepLaHood,IL,R,house
"LaMalfa, Doug",https://twitter.com/RepLaMalfa,CA,R,house
"Lamb, Conor",https://twitter.com/RepConorLamb,PA,D,house
"Lamborn, Doug",https://twitter.com/RepDLamborn,CO,R,house
"Langevin, Jim",https://twitter.com/JimLangevin,RI,D,house
"Larsen, Rick",https://twitter.com/RepRickLarsen,WA,D,house
"Larson, John B.",https://twitter.com/RepJohnLarson,CT,D,house
"Latta, Robert E.",https://twitter.com/boblatta,OH,R,house
"LaTurner, Jake",https://twitter.com/RepLaTurner,KS,R,house
"Lawrence, Brenda",https://twitter.com/RepLawrence,MI,D,house
"Lawson, Al",https://twitter.com/RepAlLawsonJr,FL,D,house
"Lee, Barbara",https://twitter.com/RepBarbaraLee,CA,D,house
"Lee, Susie",https://twitter.com/RepSusieLee,NV,D,house
"Leger Fernandez, Teresa",https://twitter.com/RepTeresaLF,NM,D,house
"Lesko, Debbie",https://twitter.com/RepDLesko,AZ,R,house
"Letlow, Julia",https://twitter.com/RepJuliaLetlow,LA,R,house
"Levin, Andy",https://twitter.com/RepAndyLevin,MI,D,house
"Levin, Mike",https://twitter.com/RepMikeLevin,CA,D,house
"Lieu, Ted",https://twitter.com/RepTedLieu,CA,D,house
"Lofgren, Zoe",https://twitter.com/RepZoeLofgren,CA,D,house
"Long, Billy",https://twitter.com/USRepLong,MO,R,house
"Loudermilk, Barry",https://twitter.com/RepLoudermilk,GA,R,house
"Lowenthal, Alan",https://twitter.com/RepLowenthal,CA,D,house
"Lucas, Frank",https://twitter.com/RepFrankLucas,OK,R,house
"Luetkemeyer, Blaine",https://twitter.com/RepBlaine,MO,R,house
"Luria, Elaine",https://twitter.com/RepElaineLuria,VA,D,house
"Lynch, Stephen F.",https://twitter.com/RepStephenLynch,MA,D,house
"Mace, Nancy",https://twitter.com/RepNancyMace,SC,R,house
"Malinowski, Tom",https://twitter.com/RepMalinowski,NJ,D,house
"Malliotakis, Nicole",https://twitter.com/RepMalliotakis,NY,R,house
"Maloney, Carolyn",https://twitter.com/RepMaloney,NY,D,house
"Maloney, Sean Patrick",https://twitter.com/RepSeanMaloney,NY,D,house
"Mann, Tracey",https://twitter.com/RepMann,KS,R,house
"Manning, Kathy E.",https://twitter.com/RepKManning,NC,D,house
"Massie, Thomas",https://twitter.com/RepThomasMassie,KY,R,house
"Mast, Brian",https://twitter.com/RepBrianMast,FL,R,house
"Matsui, Doris O.",https://twitter.com/DorisMatsui,CA,D,house
"McBath, Lucy",https://twitter.com/RepLucyMcBath,GA,D,house
"McCarthy, Kevin",https://twitter.com/GOPLeader,CA,R,house
"McCaul, Michael T.",https://twitter.com/RepMcCaul,TX,R,house
"McClain, Lisa C.",https://twitter.com/RepLisaMcClain,MI,R,house
