,LegislativeBody,Name ,Link,State ,Party ,account
172,house,"Cleaver, Emanuel",https://twitter.com/repcleaver,MO,D,repcleaver
173,house,"Cline, Ben",https://twitter.com/RepBenCline,VA,R,RepBenCline
174,house,"Cloud, Michael",https://twitter.com/RepCloudTX,TX,R,RepCloudTX
175,house,"Clyburn, James ",https://twitter.com/WhipClyburn,SC,D,WhipClyburn
176,house,"Clyde, Andrew ",https://twitter.com/Rep_Clyde ,GA,R,Rep_Clyde 
177,house,"Cohen, Steve",https://twitter.com/RepCohen,TN,D,RepCohen
178,house,"Cole, Tom",https://twitter.com/TomColeOK04,OK,R,TomColeOK04
179,house,"Collins, Mike",https://twitter.com/RepMikeCollins,GA,R,RepMikeCollins
180,house,"Comer, James",https://twitter.com/RepJamesComer,KY,R,RepJamesComer
181,house,"Connolly, Gerald E. ""Gerry""",https://twitter.com/GerryConnolly,VA,D,GerryConnolly
